NAME,DATE TIME DETECTED
JOHN_WACHIRA_WANTED,2022-11-06 21:10:29.380730
STEVE_MWAS_MISSING,2022-11-06 21:10:40.854158
KASIVA_MISSING,2022-11-06 21:13:24.392745
VERONICAH_WANTED,2022-11-06 21:13:54.108049
